step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#1-F2/dCS	#1-F2/etaCS	
101	164.6983787	1223.760704	720.8319452	14311.98913	0.4225098808	
102	165.3215	1224.272915	724.2002243	14336.28002	0.4268412413	
103	164.5307214	1221.419414	722.4103178	14299.62626	0.4207690621	
104	163.388474	1222.447575	731.0547438	14349.89351	0.4182450624	
105	165.8625888	1222.442363	716.2993272	14351.47196	0.4195842453	
106	166.466934	1221.998667	722.8466391	14386.87358	0.4222520869	
107	164.1893005	1222.739428	725.2843098	14331.4563	0.4176900342	
108	164.9652277	1222.931865	725.6819318	14341.16336	0.4259048406	
109	163.583923	1224.240387	729.6653441	14373.78406	0.42486274	
110	164.4547266	1221.246232	724.85692	14360.49876	0.4164383265	
111	164.0201631	1218.001597	720.694645	14345.28783	0.4115658089	
112	165.9752059	1221.547872	718.9497385	14353.56546	0.4260075941	
113	166.1266275	1221.770521	722.530373	14342.33064	0.4281763182	
114	166.3485206	1226.633582	723.0000655	14289.46663	0.4371045321	
115	163.7461739	1222.624608	730.3954051	14350.48979	0.4221753012	
116	165.8965309	1221.342447	719.1469125	14342.33216	0.4241515346	
117	164.2641865	1221.491938	718.9276633	14357.73334	0.4115568959	
118	164.2123027	1220.246923	723.4479792	14289.88633	0.4193494662	
119	166.1299628	1221.751745	715.3397989	14349.44209	0.4287983258	
120	163.7750711	1223.512114	725.1309223	14361.26656	0.4157677946	
121	165.2448752	1219.938734	726.961542	14313.47839	0.4186902913	
122	165.3765741	1220.243631	725.5564291	14352.26481	0.4243782516	
123	167.0984808	1223.502047	715.6391005	14304.86385	0.4309430012	
124	164.3110861	1222.174399	725.6740023	14306.61477	0.4204557283	
125	165.682823	1224.610801	716.4341073	14322.91367	0.4213525259	
126	166.5456373	1223.282891	717.1501951	14365.5058	0.4280026819	
127	166.5170751	1219.761621	718.6290567	14366.82868	0.4278366139	
128	166.4311521	1224.185586	720.9260035	14323.41995	0.4325264736	
129	164.3229705	1223.179598	722.4820872	14318.34327	0.4180379822	
130	165.0453368	1223.926771	722.1041152	14310.24544	0.4213306594	
131	164.8460774	1219.902697	719.9212765	14340.3535	0.4235581481	
132	165.2068799	1224.711911	723.1337552	14382.31515	0.4168408769	
133	164.4691424	1224.033119	721.7829943	14308.14484	0.4208842402	
134	165.5848083	1220.690562	722.3786216	14319.25053	0.4203252464	
135	164.5050811	1223.270227	726.2465775	14298.49245	0.4260855164	
136	163.5496564	1222.282169	729.4518932	14307.32667	0.4140603231	
137	165.2500137	1223.146271	724.7333847	14337.07063	0.4261390605	
138	166.070903	1220.172512	714.4955373	14350.38717	0.4216806205	
139	165.398297	1224.061959	724.5473107	14310.76772	0.422553213	
140	164.5777252	1221.772217	727.29359	14296.89602	0.4198876404	
141	166.6129633	1219.874818	719.7563729	14250.31413	0.43254935	
142	163.9837165	1226.270425	726.3991635	14317.11566	0.4177326425	
143	163.5986867	1221.735097	725.7269972	14365.7155	0.414240562	
144	165.5198728	1224.40576	721.6364492	14331.66806	0.4253203938	
145	165.2497549	1222.544198	724.9043439	14375.87083	0.4181435659	
146	165.5592798	1224.332683	721.1074579	14337.08936	0.4227198458	
147	165.2137191	1220.961687	721.2159404	14365.46793	0.424578276	
148	164.151875	1222.135773	727.0893335	14316.83907	0.4191916741	
149	163.7619264	1223.573921	722.3424624	14334.05304	0.4148471474	
150	164.7585601	1223.246301	720.284108	14389.23625	0.4248323002	
151	165.9039337	1220.681245	717.9994904	14359.89178	0.4350491939	
152	164.8815982	1220.030588	721.2015371	14348.5324	0.4195570874	
153	163.8390806	1222.543335	726.0484778	14341.44035	0.4188852651	
154	165.9576451	1222.148855	715.3674622	14336.23109	0.4225703474	
155	165.2164426	1222.785817	721.6450141	14369.57907	0.4250052963	
156	165.5764908	1222.746186	720.4977054	14360.44492	0.4245418511	
157	165.0058574	1224.265872	724.0526849	14425.2803	0.4223905328	
158	164.2452049	1222.871213	721.8958153	14390.92014	0.4143415619	
159	165.2658422	1222.667283	720.9332778	14376.2313	0.4195480136	
160	165.6096192	1223.732932	721.2148961	14383.00035	0.423600762	
161	164.58475	1222.980922	728.4155467	14343.87534	0.42836464	
162	164.8049097	1224.370182	718.1983249	14333.4825	0.4219641085	
163	165.3845475	1222.174764	717.3475914	14299.8225	0.4293156416	
164	166.4878302	1222.612863	719.9625013	14352.87838	0.426657196	
165	164.9683201	1222.881668	719.1641199	14305.33711	0.4235820192	
166	165.0337728	1225.121916	724.9497024	14332.20868	0.4253021633	
167	167.4145853	1224.028746	720.1148905	14354.28908	0.428921267	
168	164.6118298	1221.764072	724.4775256	14393.0316	0.4201865427	
169	164.796245	1221.087724	727.0288491	14357.71513	0.4251371229	
170	165.0853799	1221.56803	727.9497821	14323.92656	0.4391269214	
171	165.7364507	1223.251005	726.8607136	14347.3719	0.4312605731	
172	164.7461391	1221.557864	724.6732167	14337.72445	0.42139589	
173	164.7584987	1217.107148	729.8046603	14363.2164	0.4251365263	
174	165.7039801	1221.362925	726.5885241	14357.09674	0.433403436	
175	165.2017634	1223.456209	719.7353187	14358.22568	0.4224323615	
176	163.7697103	1222.64729	725.6435118	14342.25995	0.4188025815	
177	163.6857252	1222.973814	731.2447146	14386.12479	0.4237520588	
178	163.8492721	1223.343199	728.0678705	14359.11278	0.4188012573	
179	163.0310638	1224.195547	729.8186676	14341.94594	0.4219070941	
180	165.5521807	1222.618173	722.3027797	14400.92085	0.4206265846	
181	163.8471031	1221.781557	726.3393983	14350.95242	0.41575332	
182	165.2385725	1223.249111	723.3709238	14383.81098	0.4190842184	
183	164.9946281	1219.874198	724.6041885	14359.387	0.4271966281	
184	163.1759257	1221.095921	719.2189155	14388.32431	0.4104122523	
185	165.8100003	1221.715667	718.6880217	14342.78699	0.4271001913	
186	163.9662593	1221.377895	726.654078	14386.86239	0.4184914102	
187	166.8845401	1224.542174	715.2107605	14354.24038	0.4241790518	
188	165.6475088	1225.466551	727.1342419	14326.09663	0.4278709125	
189	164.1941416	1225.086506	724.0481589	14341.52812	0.4144689149	
190	165.1802502	1222.044806	728.0171325	14316.36514	0.4297303564	
191	164.9083417	1220.77807	724.194151	14328.16299	0.4212195661	
192	165.8883487	1223.786252	721.6066081	14352.01	0.4323235836	
193	164.876155	1221.277589	722.1252038	14379.3725	0.4174584349	
194	165.7240999	1222.113277	715.7287926	14326.41534	0.42070472	
195	166.2072482	1225.03471	718.3767156	14347.39442	0.426645665	
196	164.33758	1221.200855	723.9999697	14404.49355	0.4168605153	
197	165.1256229	1222.640917	718.6256593	14386.58014	0.4217136668	
198	164.5483846	1222.348015	725.1113668	14388.38505	0.4280137515	
199	163.9227668	1223.187786	723.3047957	14362.9409	0.412277396	
200	165.2863944	1225.846705	725.4626657	14295.65681	0.4264285375	
201	164.6150167	1223.078937	728.6405943	14397.89349	0.4214799058	
202	164.0398822	1223.214959	725.6543358	14401.88729	0.4148114901	
203	164.7645526	1224.151271	718.4788276	14376.86602	0.4147161547	
204	164.2324787	1223.250554	726.143743	14323.66788	0.4301893596	
205	165.2492455	1221.238201	723.4420548	14301.74895	0.4191780697	
206	165.4872837	1226.504501	718.9145871	14291.88334	0.4155384676	
207	164.718933	1224.665914	720.4808277	14264.93207	0.4269649307	
208	164.1889266	1219.011386	721.1445266	14334.26684	0.4175573579	
209	164.5232021	1223.73051	722.2782361	14341.41134	0.4163844924	
210	164.8241643	1223.315274	722.0047198	14316.11131	0.4201823311	
211	166.1912668	1221.961098	715.7540403	14341.71134	0.425078029	
212	164.1036485	1222.261581	726.7409129	14359.14833	0.4282667663	
213	165.2144988	1223.918067	723.0544683	14299.93303	0.4209305445	
214	163.777428	1226.245487	729.3776788	14291.59109	0.4246920276	
215	164.695968	1222.284266	726.6730244	14391.86126	0.4271923877	
216	166.5830588	1219.155244	716.765582	14325.87776	0.4276016692	
217	165.0675206	1222.297076	724.1958839	14275.47889	0.4200054886	
218	165.1878492	1223.486713	721.9445117	14364.03415	0.4237049146	
219	164.9978335	1223.150948	723.4523048	14303.37762	0.4237680956	
220	163.8954653	1223.651151	720.1660384	14353.43754	0.4138913005	
221	164.1824089	1223.317104	728.1808645	14377.77248	0.4251907297	
222	164.7446585	1223.691081	722.0109312	14327.81359	0.4182477285	
223	164.0172498	1223.435883	725.112283	14322.94347	0.4216100239	
224	165.9602316	1222.22663	720.7691021	14343.67861	0.4323926411	
225	162.9168194	1220.400885	734.9101708	14335.76924	0.417697431	
226	164.1345389	1222.040196	722.9128908	14390.2444	0.4251823027	
227	165.5273029	1222.941648	718.4343962	14351.48245	0.4245122122	
228	163.9060668	1224.771807	728.5955923	14399.90847	0.4184211197	
229	164.1922727	1219.880597	728.6088798	14355.03867	0.4206230752	
230	163.9454892	1222.084533	730.3826128	14329.01607	0.4220449524	
231	164.7312406	1224.544125	724.7663376	14315.10402	0.4269712037	
232	163.6480554	1220.942937	724.9912642	14288.91476	0.4177403032	
233	165.6661561	1222.823689	717.5433709	14371.58542	0.4303065746	
234	163.3930918	1223.852759	729.3574107	14370.70697	0.4188895491	
235	164.8537876	1224.26418	721.7080077	14318.40833	0.4183674114	
236	165.4913803	1223.744969	723.0627075	14426.43243	0.4185499869	
237	164.7603028	1221.64979	720.3724204	14415.40937	0.4260775346	
238	164.6462626	1222.609414	724.2347835	14299.34335	0.4211312396	
239	163.8116222	1221.020825	730.7099294	14346.53234	0.4224591798	
240	163.911922	1223.69431	725.5713194	14392.59888	0.4155562682	
241	164.901999	1224.318478	718.3604076	14379.3948	0.4134903119	
242	163.1466384	1223.144499	729.102703	14312.34762	0.4153931253	
243	164.9261888	1221.143529	729.5167609	14319.26996	0.4275286999	
244	164.5489093	1225.213934	721.9819908	14344.4644	0.4232651148	
245	165.3344184	1223.167384	726.4019781	14305.66451	0.4270893492	
246	165.1371715	1221.475176	716.8187633	14337.26067	0.4230783748	
247	165.2292532	1221.266554	726.1457874	14324.59061	0.4269143918	
248	164.3600685	1219.345277	723.9216251	14322.28257	0.4274955323	
249	165.1630523	1221.581665	719.6742565	14322.63481	0.4178383515	
250	163.1533714	1221.334977	731.4591591	14362.0592	0.4216889933	
251	164.217207	1220.61716	725.1495399	14363.2336	0.4242371406	
252	164.7580623	1225.289121	723.6780353	14364.511	0.4196174211	
253	164.4760908	1222.696623	721.4090057	14335.21692	0.4128778408	
254	165.1654227	1218.445555	719.8344812	14374.87546	0.42057395	
255	166.1106967	1221.972184	715.7177787	14380.1436	0.4236820753	
256	167.9213879	1222.926118	716.3183784	14365.18714	0.4333473443	
257	164.2866104	1222.621963	727.2061677	14265.52802	0.4188624908	
258	164.4000461	1224.569477	722.533658	14319.5534	0.4143748651	
259	165.2455387	1220.25731	726.0565481	14302.07387	0.4268455033	
260	163.0356987	1222.943082	728.1877972	14413.31054	0.4168207676	
261	164.7768523	1221.508018	722.3759453	14339.73816	0.4234432793	
262	164.1718105	1223.04259	722.5690941	14310.85182	0.42336657	
263	164.3919417	1223.387582	719.2974496	14402.3774	0.4127956461	
264	165.043949	1224.58825	723.160819	14300.01554	0.4203816968	
265	165.9426338	1221.924699	723.0122668	14315.29621	0.4332667856	
266	164.2143738	1223.881442	721.3319232	14366.9078	0.4246188651	
267	163.5505336	1222.116534	725.135543	14320.54168	0.4192487113	
268	165.6691688	1220.354851	719.1390925	14393.46306	0.4313975283	
269	165.005497	1223.596146	725.6649155	14361.83274	0.4263755492	
270	166.5066991	1221.276746	713.5970543	14287.88841	0.4288656416	
271	164.1473264	1221.403398	729.4833049	14356.48901	0.4220829442	
272	165.6960067	1220.948921	723.0503249	14320.05745	0.426255109	
273	164.9333089	1225.449908	721.9825973	14318.84074	0.4232344176	
274	164.5936553	1223.890138	723.271398	14329.90211	0.4283882205	
275	164.6589973	1222.199332	723.9297138	14358.58756	0.4224580065	
276	165.7091587	1220.55145	718.8031267	14402.87634	0.4255381908	
277	166.2688674	1220.063989	720.1599	14358.37072	0.4239726689	
278	165.8508439	1222.74138	725.3667152	14280.37285	0.4317485588	
279	164.9261484	1220.795055	728.0160923	14309.50825	0.4239624561	
280	164.6877828	1219.488733	724.5789074	14324.62077	0.424506863	
281	164.6981238	1221.862118	720.8030772	14315.28068	0.4225133442	
282	163.2214274	1221.344985	729.5346846	14326.56564	0.4290301178	
283	164.582016	1222.779851	728.4359985	14310.4382	0.423679814	
284	165.2818978	1223.671194	721.255611	14317.0803	0.4213199655	
285	164.2122916	1222.841087	726.6214512	14378.56763	0.4173663589	
286	164.9929786	1223.898074	722.1991707	14287.03745	0.4209946488	
287	164.3027633	1223.501405	728.1681856	14318.71088	0.4260575849	
288	165.2449631	1222.800054	719.7906728	14302.46732	0.4271264411	
289	164.6137346	1223.569257	726.460797	14372.84065	0.4237804397	
290	164.5531273	1222.519565	725.5929443	14345.72976	0.4162499945	
291	165.1965061	1221.49005	724.1402944	14294.05315	0.4326067724	
292	163.3814206	1224.924957	725.3238591	14426.62785	0.4176119693	
293	165.3200092	1225.416242	717.6944701	14353.66465	0.4242231087	
294	163.9924172	1223.935373	729.6346186	14274.12243	0.4261979341	
295	164.7949555	1221.788188	724.3763953	14348.93502	0.4207491371	
296	164.2975619	1220.829935	724.9071463	14352.63701	0.4143433577	
297	165.2714786	1221.587599	723.9081713	14347.63107	0.4259468935	
298	165.6237943	1220.765535	719.6886775	14323.7232	0.4255405307	
299	165.2263003	1222.507961	722.6801696	14332.95024	0.4288800892	
300	165.3567996	1220.902026	720.6615662	14278.35901	0.4302647653	
301	164.7854197	1222.856795	716.3884284	14364.3912	0.4199074846	
302	164.9291992	1219.847538	724.6022789	14344.41362	0.4195834585	
303	164.684041	1220.207287	719.9858785	14293.55933	0.4220505972	
304	163.9608811	1220.400907	727.6511798	14354.75688	0.4181589437	
305	165.3165369	1221.210016	721.2483568	14287.9751	0.4290599798	
306	165.1755372	1218.892309	718.3861396	14328.01714	0.4204478322	
307	164.7489616	1222.56317	723.1165452	14329.86875	0.4247977797	
308	165.1405253	1222.945063	719.4293533	14334.04363	0.4215133916	
309	165.7133399	1220.60415	721.3657743	14356.01076	0.42812141	
310	166.5539264	1223.145576	715.7664353	14342.16023	0.4251586025	
311	164.6601306	1220.17366	720.4010807	14343.34272	0.4209146422	
312	164.7333194	1223.72828	725.6154785	14368.06712	0.4246406206	
313	165.5638948	1220.505877	720.8544446	14333.82047	0.4265283428	
314	164.4093149	1222.298435	727.6806724	14361.50159	0.4213132027	
315	165.3897662	1221.258707	723.0961882	14311.9122	0.4313845895	
316	165.669892	1223.220592	719.7799633	14364.7818	0.4236536874	
317	166.0163989	1222.331801	721.818706	14303.612	0.4268696252	
318	165.0313997	1221.897509	723.3417297	14348.32806	0.4138103506	
319	164.6758241	1221.868803	726.3010946	14318.11836	0.4212196005	
320	164.292773	1221.152549	733.3481027	14360.19943	0.4319649492	
321	164.7824493	1222.720354	722.0987119	14295.73976	0.4240929281	
322	165.0071366	1222.062399	722.6178922	14341.0475	0.4170284537	
323	164.6514014	1222.285556	723.6317411	14362.36487	0.42286568	
324	165.5449111	1220.839561	719.2165919	14361.03516	0.417251636	
325	165.4299848	1220.889247	721.9427461	14360.48678	0.429252756	
326	166.0221818	1222.714166	710.8120875	14371.58134	0.4207670584	
327	164.6671779	1221.024866	721.7556397	14367.56584	0.4218706521	
328	166.1166596	1220.738429	717.425826	14359.58226	0.4250489214	
329	165.364725	1222.133309	719.2098181	14343.51478	0.4234812278	
330	165.2438635	1222.028516	724.6938539	14316.40275	0.4225629704	
331	165.4432097	1221.110942	720.5261141	14268.12807	0.4259460296	
332	165.3898133	1222.635956	716.8098343	14329.14944	0.4131201066	
333	164.6384332	1219.252534	718.7367089	14374.78741	0.4159870529	
334	165.4598331	1221.578617	720.9128858	14346.17722	0.4172226708	
335	165.3341433	1220.693504	723.3842636	14320.65364	0.420306719	
336	165.0854816	1220.03304	720.9860911	14293.52294	0.4204533895	
337	166.2748371	1223.133201	723.0556415	14351.12948	0.430087562	
338	165.3668529	1222.270437	725.643389	14319.59914	0.4271551568	
339	165.8542952	1223.013153	722.1101624	14283.18681	0.4284581627	
340	164.3239568	1224.767416	723.3341234	14404.10454	0.4237295139	
341	164.1611847	1223.159944	733.4333933	14332.34939	0.4275987947	
342	165.5077495	1221.461253	721.8654595	14385.89761	0.4136887258	
343	165.9847531	1220.338576	720.5937636	14333.77931	0.4304462561	
344	164.5400229	1223.887386	722.4188558	14426.857	0.4228284125	
345	166.683222	1221.844801	716.8884514	14309.9875	0.4260656078	
346	165.2339923	1222.696668	717.1719406	14412.58179	0.4197401287	
347	167.1165876	1224.047293	716.3873358	14312.33511	0.4327164666	
348	165.3053716	1223.779152	721.0835408	14316.27541	0.425712143	
349	164.8648842	1222.293702	728.3875397	14343.75359	0.4228499253	
350	165.2393945	1218.812614	724.0864783	14352.31669	0.4303381186	
351	163.4463889	1219.030819	725.8695949	14340.87822	0.4214630102	
352	165.0141474	1227.268468	715.5963537	14321.39711	0.418990559	
353	165.0251374	1220.711232	725.0683895	14311.13649	0.4339693418	
354	163.2368057	1222.315047	726.4042737	14396.19431	0.4207758245	
355	165.7330643	1223.947557	721.3683293	14332.15955	0.4232465458	
356	164.7817394	1221.063109	723.0670792	14302.66778	0.4263761391	
357	166.0294563	1225.656433	717.8828355	14395.67108	0.4212997563	
358	164.7041149	1225.199537	724.4215996	14339.44348	0.4260646478	
359	166.4202652	1221.246926	720.3935415	14326.5666	0.4252264563	
360	164.6459153	1222.045895	726.705185	14306.7901	0.4246468218	
361	164.244058	1221.12957	730.1781254	14367.65911	0.4171401842	
362	165.8533886	1224.298113	722.4722819	14368.61289	0.4231044727	
363	166.6636299	1224.808974	716.797054	14337.43062	0.4308437224	
364	164.6525018	1222.755567	724.131867	14321.35419	0.4252377444	
365	165.2067131	1224.340905	723.9932924	14321.17167	0.4270685875	
366	163.4147244	1221.605414	726.9333008	14355.89433	0.4230139385	
367	165.867588	1223.190386	720.7782512	14378.88104	0.4170249877	
368	164.5243256	1222.401419	723.7335603	14354.87887	0.4217703252	
369	163.572327	1224.567672	725.5766523	14391.73195	0.4165991017	
370	163.8588055	1221.944851	727.1534665	14316.66189	0.4158781942	
371	166.1802029	1219.771597	720.2358476	14287.41941	0.432204212	
372	166.4867969	1220.656285	721.4019065	14296.28579	0.427694015	
373	163.5931955	1220.564842	731.1891598	14331.43781	0.417793338	
374	164.9129367	1221.926474	728.1635809	14317.44907	0.4286307096	
375	163.5044034	1223.080215	726.4491481	14375.05882	0.4142510372	
376	165.6646119	1219.465794	719.5604374	14300.12708	0.422398729	
377	166.318911	1223.928105	713.6292076	14381.66971	0.4253264206	
378	163.1141986	1222.903682	731.1585959	14335.99929	0.4180669189	
379	165.5708692	1223.787599	722.0985276	14324.84299	0.4221191366	
380	166.7265764	1218.831157	716.0134289	14310.77688	0.4240883809	
381	164.9564299	1221.748285	720.2315422	14322.74501	0.416312681	
382	164.9364697	1223.045372	726.6868432	14353.13761	0.4249931934	
383	165.1864557	1222.214622	727.1842443	14265.64909	0.4250203088	
384	163.9285595	1223.806868	723.9056141	14328.13011	0.4154431839	
385	165.7506468	1222.464922	721.7806531	14317.85005	0.4318329313	
386	166.1726763	1221.681154	719.6149413	14341.26241	0.4275843712	
387	164.7968746	1224.449044	718.6885055	14348.76127	0.4202575966	
388	164.8083499	1223.238254	722.1341555	14363.45307	0.4244369352	
389	166.7602909	1223.42685	717.2061284	14332.39703	0.4359473419	
390	163.2470043	1221.607747	725.9887058	14333.80406	0.4190755279	
391	165.2075017	1220.446507	727.3542984	14338.99642	0.4270394218	
392	166.6823736	1222.221757	721.2180094	14385.34428	0.4306018287	
393	166.1026886	1221.729537	713.3625512	14338.80982	0.4155129941	
394	166.1662171	1221.332213	716.6070679	14390.89415	0.4229031293	
395	165.6727028	1222.699862	718.9671441	14329.55601	0.4211094096	
396	164.8976189	1217.790623	720.723498	14324.75861	0.4195628618	
397	163.8342515	1218.884943	728.0500459	14351.40249	0.4222148192	
398	164.8066733	1221.512915	725.5301064	14377.7828	0.4203641843	
399	164.4386581	1223.133762	727.634142	14404.7309	0.4196763373	
400	164.1614436	1223.468277	726.2111066	14337.79221	0.4255058837	
401	164.1423139	1219.924554	722.9855273	14342.16728	0.4168129288	
402	164.5059957	1223.921067	721.0764225	14417.75845	0.415224523	
403	164.9649147	1223.561842	724.2101773	14369.08235	0.4194395978	
404	167.4852408	1222.661292	716.0946381	14356.44648	0.424840803	
405	163.9531117	1223.988379	730.3775069	14369.07037	0.4265747711	
406	166.826695	1226.383936	719.316638	14351.0463	0.4287910176	
407	166.1645716	1220.747664	714.0914345	14311.34213	0.4175551941	
408	165.7578003	1221.866528	720.995957	14355.90819	0.4232692773	
409	166.3374495	1224.453039	719.6209118	14362.19719	0.4265773907	
410	164.7307107	1221.383326	720.3430669	14389.76403	0.4178585398	
411	165.8691081	1223.439674	724.3487311	14335.40025	0.4344105845	
412	164.0670423	1221.52743	728.1432244	14391.6573	0.4237379005	
