step	#1-F2/Amplitude	#1-F2/Position	#1-F2/Width	#1-F2/dCS	#1-F2/etaCS	
1	235.4804363	1227.229301	288.4274631	14309.41727	0.4755294306	
2	238.0639466	1227.65632	285.7883141	14332.88836	0.4413637896	
3	237.4171039	1227.561071	287.0664599	14319.06044	0.4484138211	
4	236.1862174	1228.028019	284.6117137	14396.09005	0.4594739646	
5	237.6306772	1227.634424	288.7097365	14329.37228	0.4522686852	
6	237.1083279	1228.129316	283.4574379	14351.03343	0.4650080947	
7	237.293847	1227.507229	285.8494106	14276.34894	0.4627834796	
8	238.8719799	1227.303369	283.3487327	14300.13404	0.4781417929	
9	235.2301131	1227.453184	284.3577665	14387.70715	0.4593921956	
10	239.1700041	1226.601532	283.7946475	14256.44814	0.4688947837	
11	239.4238858	1227.799018	281.7946161	14314.22682	0.4505738866	
12	237.2288137	1228.020603	286.6354241	14334.16409	0.4406005384	
13	236.6104675	1228.218022	285.6663955	14301.13995	0.4862380262	
14	236.6176022	1227.830933	286.073493	14287.18312	0.4750356958	
15	237.1309096	1227.847986	284.8525853	14325.74925	0.4689175685	
16	237.6397134	1226.880881	285.576038	14250.56357	0.4494095882	
17	238.3475661	1226.537453	284.3486423	14318.58425	0.4646993788	
18	236.458201	1227.51095	286.5793922	14320.10421	0.4656667978	
19	238.9450544	1227.981966	284.4213435	14277.15541	0.4667522973	
20	238.1752875	1227.751294	285.9218312	14322.41313	0.4587250931	
21	239.4431647	1228.227099	282.0885004	14312.31954	0.4529028208	
22	237.181737	1228.558093	284.501347	14320.78331	0.4423427829	
23	237.7987728	1228.304562	286.7789793	14276.25898	0.4853443338	
24	235.159445	1228.659045	288.5352956	14398.86744	0.4611697904	
25	238.7362965	1227.972914	283.7750688	14287.62296	0.448235671	
26	237.6203697	1228.089382	284.7830378	14320.30758	0.4455459099	
27	237.7515936	1227.286454	286.233997	14292.53403	0.4708349487	
28	239.778789	1227.431547	281.4143819	14285.92476	0.4524964984	
29	238.2335825	1227.582124	285.1597574	14341.07169	0.4632448906	
30	238.4285472	1227.149768	284.4225366	14287.41902	0.4420466607	
31	236.2318922	1227.89832	285.5698033	14295.93101	0.4746503552	
32	238.0740448	1228.329568	285.5874551	14319.71409	0.4403493064	
33	236.8999589	1227.297358	285.1646054	14307.10273	0.4683164047	
